DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD
COMQUEST ACADEMY,1,44,69,33,15,77,45,16,78,54,13,13,78,33,11,75,50,25,50,0,0,67,29,11,84,58,32,,,,,,,,,,,,,59,23,14
YES PREP PUBLIC SCHOOLS INC,19,14557,71,41,16,70,45,16,77,72,37,16,77,44,15,64,37,19,62,31,11,72,42,17,75,45,20,79,50,24,81,58,36,100,57,14,58,28,10,70,39,15
HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,6,3564,75,47,22,78,53,23,73,73,42,23,73,40,14,71,46,26,77,49,24,71,41,17,85,59,29,57,29,14,86,69,38,-1,-1,-1,74,49,19,74,45,21
BEATRICE MAYES INSTITUTE CHARTER SCHOOL,1,462,71,41,18,78,55,28,77,64,33,14,77,34,5,41,11,3,70,40,18,77,46,15,,,,,,,,,,,,,87,67,13,67,36,14
ACCELERATED INTERMEDIATE ACADEMY,2,214,81,51,27,83,56,27,64,83,50,30,64,32,16,,,,67,17,0,79,53,25,-1,-1,-1,-1,-1,-1,,,,,,,,,,77,50,22
PROMISE COMMUNITY SCHOOL,5,1722,56,24,9,60,30,15,39,61,23,6,39,14,2,25,4,0,58,23,15,56,24,9,52,26,9,29,0,0,58,23,7,,,,,,,55,23,8
MEYERPARK ELEMENTARY,1,272,59,32,15,76,49,25,30,48,18,7,30,10,5,,,,55,28,14,71,41,20,,,,,,,-1,-1,-1,-1,-1,-1,75,38,25,56,30,14
DRAW ACADEMY,1,692,53,24,10,61,32,16,40,52,21,8,40,14,4,39,11,5,,,,53,24,10,-1,-1,-1,,,,-1,-1,-1,,,,,,,53,24,10
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,9,5894,77,50,27,79,56,30,75,77,48,26,75,43,17,72,44,29,74,46,24,73,45,21,87,61,34,55,18,9,91,73,48,84,53,38,88,65,40,73,44,21
STEP CHARTER SCHOOL,2,558,81,51,28,86,59,36,74,79,52,27,74,35,16,66,11,9,84,59,36,79,47,25,93,53,27,-1,-1,-1,83,57,34,,,,-1,-1,-1,81,51,28
THE RHODES SCHOOL FOR PERFORMING ARTS,2,607,67,36,14,69,40,20,67,65,31,10,67,39,13,69,24,7,65,34,13,70,40,20,89,44,33,-1,-1,-1,-1,-1,-1,,,,100,50,25,66,33,14
HARMONY PUBLIC SCHOOLS - HOUSTON WEST,6,4086,88,67,39,89,72,41,87,88,66,40,87,62,32,86,63,41,87,64,36,79,53,25,90,71,42,75,44,31,95,79,50,13,13,13,92,69,40,86,63,35
THE LAWSON ACADEMY,1,169,56,25,13,65,38,22,70,50,16,6,70,28,16,35,9,2,54,24,12,75,36,25,,,,,,,,,,,,,83,33,33,55,24,12
THE PRO-VISION ACADEMY,2,397,29,10,2,36,15,4,34,19,3,2,34,7,1,26,11,1,28,9,2,46,22,11,-1,-1,-1,-1,-1,-1,,,,,,,-1,-1,-1,29,9,2
BETA ACADEMY,2,1298,87,60,30,92,73,41,83,84,47,20,83,50,17,91,83,60,79,51,27,88,61,30,96,58,32,83,67,17,90,74,41,,,,79,58,26,86,56,27
A+ UNLIMITED POTENTIAL,1,145,69,41,23,81,49,32,77,59,33,16,77,54,26,51,26,13,75,40,19,59,37,23,95,65,40,,,,50,50,25,,,,70,50,40,68,41,22
ETOILE ACADEMY CHARTER SCHOOL,1,341,64,36,17,69,47,28,63,60,30,10,63,33,14,67,25,9,68,39,19,66,36,16,77,62,46,,,,50,28,15,,,,,,,64,36,17
YELLOWSTONE COLLEGE PREPARATORY,1,157,61,28,12,76,41,20,48,57,23,9,48,18,2,46,15,9,61,27,11,-1,-1,-1,,,,83,67,50,,,,,,,-1,-1,-1,59,26,10
LEGACY SCHOOL OF SPORT SCIENCES,1,369,71,48,18,79,67,22,76,56,32,19,76,45,9,79,34,11,70,48,15,71,43,20,90,76,29,,,,,,,,,,88,81,44,72,47,16
BLOOM ACADEMY CHARTER SCHOOL,1,193,29,14,5,36,25,7,,21,4,4,,,,,,,25,13,6,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,,,,18,13,8
REVE PREPARATORY CHARTER SCHOOL,1,165,56,22,7,67,33,14,7,59,18,2,7,0,0,,,,53,21,6,61,16,6,-1,-1,-1,,,,,,,,,,,,,55,21,7
ELEVATE COLLEGIATE CHARTER SCHOOL,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSTON CLASSICAL CHARTER SCHOOL,1,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDINE ISD,78,61528,57,29,10,59,33,12,58,53,22,9,58,26,8,61,33,15,51,23,7,58,29,11,59,34,13,64,31,19,87,64,36,68,39,13,57,30,12,57,28,10
ALIEF ISD,45,40642,64,38,17,64,41,17,64,63,33,14,64,36,15,69,44,25,65,38,17,61,33,13,66,42,19,64,34,14,83,62,36,78,62,28,77,54,25,64,37,16
CHANNELVIEW ISD,13,9503,67,38,14,68,42,16,71,69,34,14,71,37,14,58,33,14,60,30,9,68,38,15,69,39,18,77,49,20,90,77,48,53,13,7,71,40,5,66,36,13
CROSBY ISD,9,6465,75,47,21,74,49,21,78,76,45,20,78,48,19,69,43,25,66,36,14,73,45,20,80,53,24,86,44,25,90,55,33,,,,74,48,19,70,40,17
CYPRESS-FAIRBANKS ISD,88,116913,82,58,32,83,63,33,85,78,50,26,85,61,31,84,63,44,72,44,19,78,51,24,92,75,46,73,47,23,95,83,59,85,61,33,86,66,38,75,47,22
DEER PARK ISD,14,12327,82,58,29,80,58,27,85,83,55,25,85,63,35,85,61,39,62,37,15,80,53,25,88,67,36,71,57,14,96,88,53,50,17,0,85,63,32,76,48,22
GALENA PARK ISD,25,21400,74,45,20,72,47,19,75,76,45,21,75,45,17,72,41,21,71,39,15,75,46,20,77,53,24,75,46,25,93,78,44,78,33,22,78,45,25,73,43,18
GOOSE CREEK CISD,31,23833,71,44,20,70,46,20,72,72,41,20,72,42,18,69,43,24,62,35,13,71,43,19,78,52,25,73,42,21,92,77,52,80,51,17,73,50,23,68,40,17
HOUSTON ISD,273,193727,69,43,21,70,49,24,68,67,38,19,68,39,17,70,44,26,61,34,14,67,39,18,87,70,45,73,47,26,90,79,61,77,58,27,88,72,48,64,36,16
HUMBLE ISD,48,47477,74,48,22,77,54,24,75,70,38,17,75,48,21,79,56,35,62,33,12,72,42,18,86,64,35,77,51,18,91,72,44,74,41,15,81,56,28,63,33,12
KATY ISD,72,88165,87,68,41,87,70,41,89,86,62,37,89,70,44,89,71,53,77,51,25,81,56,29,92,76,47,79,58,28,97,90,70,89,65,36,89,70,42,78,51,24
KLEIN ISD,50,53059,79,54,28,79,58,29,80,78,48,23,80,54,26,81,58,39,69,40,16,73,45,20,89,69,40,80,56,27,92,77,50,81,58,33,83,60,33,70,42,18
LA PORTE ISD,14,6925,78,48,21,77,52,23,81,77,41,18,81,50,20,76,49,25,65,33,14,77,46,19,80,53,25,92,60,35,95,69,37,76,53,35,75,44,18,73,41,17
PASADENA ISD,67,49255,72,43,18,71,45,18,75,70,37,16,75,45,16,75,47,26,63,33,12,71,42,17,79,54,26,83,60,30,91,73,43,72,39,28,79,53,26,70,40,16
SPRING ISD,42,33406,61,32,13,62,38,15,62,58,26,10,62,31,10,58,31,17,54,26,9,63,34,14,72,44,20,68,38,15,84,64,36,81,47,25,68,42,19,59,30,12
SPRING BRANCH ISD,46,33474,76,54,30,74,55,29,78,77,51,29,78,53,28,79,57,39,63,34,13,67,40,17,93,79,51,63,30,17,95,86,65,81,69,50,89,75,50,65,37,15
TOMBALL ISD,21,20184,90,71,42,90,73,43,91,90,68,39,91,71,40,89,71,53,82,54,26,86,63,35,92,74,45,100,85,43,97,88,65,-1,-1,-1,93,76,48,81,54,26
SHELDON ISD,13,10565,62,32,12,63,37,14,64,61,28,11,64,28,9,60,32,14,54,25,8,65,34,13,68,39,15,84,48,20,86,56,34,-1,-1,-1,62,37,17,61,31,11
HUFFMAN ISD,5,3565,75,47,21,74,49,20,80,73,40,17,80,54,25,76,50,27,72,46,23,66,36,14,78,51,23,84,44,20,86,73,45,100,71,57,65,41,15,70,41,18
KARNACK ISD,1,134,65,30,12,70,39,22,43,72,30,9,43,24,0,38,0,0,60,25,11,63,37,11,70,33,14,,,,,,,,,,63,30,11,65,30,12
MARSHALL ISD,8,5059,64,37,16,63,38,15,67,66,35,15,67,37,15,63,39,21,53,24,8,68,38,15,77,53,27,59,44,15,79,51,31,,,,71,41,20,59,31,12
WASKOM ISD,3,845,79,48,20,77,52,20,82,80,42,18,82,53,22,78,46,24,62,25,8,78,50,17,84,56,26,-1,-1,-1,33,33,33,,,,85,41,22,72,40,14
HALLSVILLE ISD,7,19079,61,34,14,70,45,16,61,49,23,11,61,29,12,62,36,18,47,21,6,57,28,9,71,46,22,49,24,8,82,61,33,55,39,13,66,38,15,54,26,9
HARLETON ISD,3,711,90,61,29,89,66,32,92,90,53,23,92,67,31,87,58,36,100,71,7,79,43,19,91,63,31,,,,,,,,,,82,52,27,85,50,21
ELYSIAN FIELDS ISD,3,829,85,55,23,88,62,27,84,84,50,20,84,52,15,79,53,24,77,42,17,86,51,15,87,59,24,-1,-1,-1,,,,,,,75,46,23,83,52,20
CHANNING ISD,1,163,69,43,19,72,54,26,69,71,38,14,69,31,14,44,28,11,,,,68,44,20,69,40,17,,,,,,,,,,-1,-1,-1,68,41,15
HARTLEY ISD,1,232,90,66,39,90,72,38,90,93,65,44,90,63,39,78,50,25,,,,86,60,32,96,77,54,,,,,,,,,,,,,76,48,24
HASKELL CISD,3,537,78,50,25,80,54,24,79,74,42,21,79,50,21,88,66,51,72,44,16,69,36,11,88,64,38,100,100,83,,,,,,,65,20,15,73,42,18
RULE ISD,1,143,65,36,11,69,46,12,74,57,23,9,74,32,3,63,42,25,-1,-1,-1,64,32,6,63,35,12,,,,,,,,,,100,83,33,65,36,10
PAINT CREEK ISD,1,95,83,51,18,80,49,19,79,92,65,25,79,38,0,71,35,24,,,,80,45,13,87,59,25,,,,,,,,,,,,,81,50,19
KATHERINE ANNE PORTER SCHOOL,1,74,77,57,15,76,64,14,87,59,18,0,87,60,27,100,90,30,,,,67,43,5,80,61,20,,,,,,,,,,-1,-1,-1,50,20,10
TEXAS PREPARATORY SCHOOL,2,120,65,39,12,68,51,22,42,69,36,5,42,8,0,,,,63,33,4,62,33,12,53,40,7,,,,,,,,,,93,64,29,59,25,16
KI CHARTER ACADEMY,3,281,26,11,0,14,14,0,-1,14,0,0,-1,-1,-1,-1,-1,-1,,,,20,0,0,33,22,0,,,,,,,,,,,,,25,17,0
SAN MARCOS CISD,11,8136,61,34,14,63,40,16,64,55,24,9,64,33,13,65,40,23,61,32,12,56,28,10,78,53,27,50,31,14,86,71,43,88,81,50,-1,-1,-1,56,27,10
DRIPPING SPRINGS ISD,8,7859,90,68,37,91,73,40,92,90,62,30,92,71,39,89,68,48,81,57,36,83,56,27,92,71,39,100,83,58,92,76,51,71,50,14,93,74,45,72,40,16
WIMBERLEY ISD,4,2606,82,58,30,86,68,36,81,79,49,22,81,54,26,80,59,42,84,50,13,76,50,21,85,62,34,74,63,53,100,77,54,,,,73,45,24,70,42,18
HAYS CISD,25,21345,75,49,24,76,54,25,78,73,43,20,78,50,22,76,52,30,70,39,16,70,42,18,89,67,37,85,60,24,91,74,45,88,59,24,80,58,30,66,36,14
CANADIAN ISD,4,839,87,60,26,88,63,24,88,88,59,30,88,57,21,82,57,28,,,,84,52,21,90,68,31,100,67,33,-1,-1,-1,,,,100,63,31,83,49,18
ATHENS ISD,5,2955,68,40,18,70,47,22,72,67,37,17,72,37,14,59,28,14,52,24,9,65,36,15,79,54,27,60,40,20,82,68,41,,,,61,35,16,63,34,14
BROWNSBORO ISD,6,2584,81,53,24,79,55,25,85,82,52,24,85,54,22,81,47,19,62,26,8,78,50,21,84,57,26,88,56,6,100,64,55,87,60,7,77,38,9,77,46,18
CROSS ROADS ISD,3,538,90,66,32,88,63,29,91,93,72,37,91,69,39,89,59,20,82,45,36,88,65,29,91,68,34,-1,-1,-1,-1,-1,-1,,,,76,38,17,86,58,26
EUSTACE ISD,4,1650,82,51,21,84,59,27,87,79,44,16,87,52,19,76,42,21,78,33,22,83,53,18,82,51,21,-1,-1,-1,-1,-1,-1,,,,80,49,22,77,44,16
MALAKOFF ISD,5,1420,88,61,27,88,65,31,91,86,53,22,91,66,26,89,62,30,80,45,16,88,58,26,90,64,30,-1,-1,-1,-1,-1,-1,83,50,17,83,60,21,85,54,23
TRINIDAD ISD,1,153,57,29,11,59,34,11,68,51,24,11,68,21,11,57,38,14,37,21,0,38,24,14,68,33,13,,,,,,,,,,49,23,11,58,31,12
MURCHISON ISD,1,179,72,36,14,75,44,15,81,69,30,11,81,38,27,50,8,8,67,8,0,62,29,8,75,40,17,,,,,,,,,,-1,-1,-1,70,37,14
LAPOYNOR ISD,3,491,79,49,19,81,60,21,88,72,36,12,88,46,15,81,51,39,64,25,7,76,51,21,81,50,20,-1,-1,-1,,,,,,,,,,74,42,15
HORIZON MONTESSORI PUBLIC SCHOOLS,4,1392,67,37,18,77,48,27,59,59,30,11,59,27,10,56,21,15,66,26,13,65,36,17,83,63,39,56,22,0,90,52,21,,,,80,30,20,64,32,14
TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,4,484,72,37,8,58,34,3,81,77,25,9,81,39,5,84,49,17,,,,63,31,6,-1,-1,-1,,,,,,,,,,,,,63,31,6
IDEA PUBLIC SCHOOLS,123,67988,80,52,26,82,59,30,85,76,43,21,85,55,24,79,50,30,71,42,20,80,52,26,85,52,19,100,60,20,100,82,59,-1,-1,-1,-1,-1,-1,78,49,24
VANGUARD ACADEMY,5,5364,80,51,25,84,60,31,81,76,42,20,81,50,18,79,47,28,100,64,45,80,50,24,83,58,26,,,,92,85,85,,,,-1,-1,-1,77,46,21
EXCELLENCE IN LEADERSHIP ACADEMY,1,301,58,31,11,66,44,16,33,60,26,8,33,12,4,28,17,6,,,,58,31,11,,,,,,,,,,,,,,,,55,28,10
DONNA ISD,23,13060,63,31,12,58,32,11,67,62,26,9,67,30,10,78,45,23,-1,-1,-1,63,31,12,53,31,20,-1,-1,-1,83,83,33,,,,67,17,0,62,30,11
EDCOUCH-ELSA ISD,9,4140,60,31,10,63,38,13,62,57,23,8,62,26,7,62,34,13,-1,-1,-1,60,30,10,25,0,0,-1,-1,-1,,,,,,,,,,58,28,9
EDINBURG CISD,44,32043,74,46,21,75,51,22,74,74,42,20,74,43,17,75,46,26,76,51,27,74,46,21,87,63,35,85,46,15,97,90,72,100,60,40,86,69,50,71,42,18
HIDALGO ISD,7,2836,71,42,19,69,47,21,75,73,40,19,75,39,16,68,33,13,,,,71,42,19,-1,-1,-1,,,,,,,,,,,,,70,40,17
MCALLEN ISD,30,20282,79,54,27,80,60,30,80,78,48,25,80,52,23,80,54,31,85,60,35,79,53,26,89,69,40,75,67,33,97,90,65,100,80,0,94,79,44,75,47,21
MERCEDES ISD,11,4416,61,28,9,61,33,11,62,58,23,7,62,25,6,67,33,13,33,17,0,61,28,9,57,38,16,-1,-1,-1,71,43,14,,,,-1,-1,-1,59,27,8
MISSION CISD,23,13838,65,35,14,66,42,17,66,63,30,12,66,31,10,65,33,16,60,27,0,64,35,14,75,48,20,-1,-1,-1,100,100,58,,,,-1,-1,-1,62,32,12
PHARR-SAN JUAN-ALAMO ISD,42,29242,71,43,18,71,47,19,73,71,39,19,73,42,15,70,41,19,75,51,10,71,43,18,80,56,24,67,50,17,100,98,71,,,,,,,70,41,17
PROGRESO ISD,4,1393,65,35,13,64,41,15,73,63,27,10,73,38,12,67,36,13,,,,66,35,13,57,57,29,,,,,,,,,,,,,65,35,13
SHARYLAND ISD,13,9481,83,58,30,83,63,32,84,83,56,30,84,55,26,82,54,32,87,69,32,83,57,30,91,74,45,-1,-1,-1,97,80,55,-1,-1,-1,88,66,46,79,52,25
LA JOYA ISD,38,24024,69,40,18,65,41,17,71,73,41,19,71,38,16,71,38,18,79,36,7,69,40,18,58,42,15,-1,-1,-1,100,100,67,,,,,,,68,39,16
WESLACO ISD,21,15581,71,41,18,70,45,18,76,69,36,16,76,43,17,72,43,22,76,59,29,71,41,17,84,63,35,47,13,0,91,73,45,67,50,0,33,33,0,70,40,17
LA VILLA ISD,3,557,57,26,9,65,35,14,53,47,18,6,53,15,2,64,31,15,,,,57,25,9,-1,-1,-1,,,,,,,,,,,,,56,25,9
MONTE ALTO ISD,3,890,67,34,12,65,39,14,70,68,30,12,70,31,9,69,34,13,,,,68,35,13,50,21,8,-1,-1,-1,,,,,,,,,,66,34,12
VALLEY VIEW ISD,7,3789,78,49,21,77,52,22,78,80,45,20,78,48,21,75,49,27,,,,78,49,21,76,65,47,,,,-1,-1,-1,,,,,,,78,48,21
ABBOTT ISD,1,282,91,62,33,90,70,38,94,91,60,34,94,55,24,91,51,26,-1,-1,-1,81,50,25,93,65,36,,,,,,,,,,100,60,20,82,52,24
BYNUM ISD,1,181,86,59,26,84,60,30,100,89,61,25,100,71,31,69,33,11,91,82,27,88,58,18,85,58,30,-1,-1,-1,-1,-1,-1,,,,60,40,40,85,57,20
COVINGTON ISD,1,301,74,38,14,83,54,24,77,68,23,4,77,36,15,52,33,10,,,,70,35,10,75,39,16,-1,-1,-1,,,,,,,61,33,6,69,32,10
HILLSBORO ISD,5,1930,76,47,22,79,51,23,67,76,43,21,67,39,15,77,52,30,62,32,13,76,45,20,82,57,29,60,30,20,96,92,71,,,,76,42,23,73,43,18
HUBBARD ISD,2,440,76,48,22,79,57,28,76,71,34,16,76,44,13,77,60,30,58,25,7,79,54,24,78,49,24,,,,-1,-1,-1,,,,71,49,9,70,42,18
ITASCA ISD,3,628,66,35,10,72,42,13,73,54,21,6,73,45,12,77,41,15,55,23,3,62,32,9,73,39,12,-1,-1,-1,100,100,83,,,,60,35,10,64,32,9
MALONE ISD,1,153,60,33,17,63,40,22,47,62,31,12,47,21,11,50,17,17,50,13,13,58,29,13,79,53,32,,,,,,,,,,65,50,30,60,32,15
MOUNT CALM ISD,2,193,70,34,15,70,33,13,69,73,41,18,69,25,9,52,29,14,75,58,25,64,33,8,73,32,14,-1,-1,-1,,,,,,,50,33,17,65,29,12
WHITNEY ISD,5,1474,76,48,20,78,50,19,79,73,43,19,79,45,14,80,57,43,65,29,9,74,42,16,78,51,22,-1,-1,-1,100,86,86,,,,76,43,19,72,42,17
AQUILLA ISD,2,335,79,54,23,81,56,25,79,82,55,25,79,52,17,64,46,26,-1,-1,-1,65,35,13,83,59,26,,,,,,,,,,57,35,13,71,45,17
BLUM ISD,1,344,81,53,19,83,61,21,81,80,47,17,81,51,14,74,46,26,78,56,11,85,60,15,80,51,19,,,,,,,,,,94,63,19,79,52,19
PENELOPE ISD,1,198,73,47,16,73,50,14,76,67,40,15,76,53,16,80,51,23,50,38,13,68,49,15,76,47,16,,,,,,,,,,,,,63,37,9
ANTON ISD,1,182,60,22,6,70,33,9,58,48,12,2,58,12,0,64,30,18,-1,-1,-1,62,20,4,-1,-1,-1,,,,,,,,,,,,,69,20,6
LEVELLAND ISD,6,2746,74,40,15,73,43,16,79,72,33,12,79,42,15,77,44,22,61,27,8,72,36,13,85,55,25,67,33,7,91,73,36,,,,72,43,15,70,34,12
ROPES ISD,1,514,87,60,27,88,68,32,85,89,51,23,85,61,17,82,56,33,63,0,0,74,44,14,94,68,33,,,,,,,,,,,,,74,42,14
SMYER ISD,1,416,79,52,23,84,61,27,77,75,47,20,77,38,12,76,53,31,-1,-1,-1,77,43,19,82,60,26,,,,,,,,,,-1,-1,-1,71,40,15
SUNDOWN ISD,4,576,91,69,32,92,71,35,89,94,71,37,89,65,13,85,64,33,86,43,14,88,64,29,95,77,36,,,,-1,-1,-1,,,,93,79,29,88,62,22
WHITHARRAL ISD,1,236,86,60,27,87,64,28,90,81,51,20,90,65,27,89,64,44,,,,80,49,22,90,67,31,,,,,,,,,,100,78,11,77,50,20
LAKE GRANBURY ACADEMY CHARTER SCHOOL,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANBURY ISD,10,7712,81,55,27,81,59,28,83,79,49,24,83,56,27,81,56,36,70,32,15,72,42,18,84,60,31,71,52,23,84,67,38,84,43,19,86,61,27,73,44,19
LIPAN ISD,2,447,83,57,26,84,63,29,85,81,47,20,85,58,24,85,61,35,,,,72,41,9,85,59,29,,,,,,,,,,75,38,13,77,47,20
TOLAR ISD,3,847,86,61,28,84,64,28,89,87,54,23,89,66,33,89,67,40,83,50,33,81,55,32,87,62,28,100,57,0,,,,80,60,20,85,59,26,83,57,24
SULPHUR SPRINGS ISD,9,4329,76,50,25,73,51,24,79,77,47,24,79,53,24,78,51,33,61,32,11,70,40,17,81,58,32,78,56,11,92,84,59,100,80,40,76,51,23,68,39,17
CUMBY ISD,2,435,72,42,17,74,48,17,76,65,33,17,76,42,15,78,50,24,75,50,13,79,38,20,71,43,18,71,36,14,,,,,,,56,31,6,64,34,11
NORTH HOPKINS ISD,2,535,79,51,23,75,54,24,80,83,46,21,80,46,17,81,60,36,,,,74,40,14,81,54,27,-1,-1,-1,,,,-1,-1,-1,77,46,14,74,43,19
MILLER GROVE ISD,1,299,85,55,20,90,67,30,75,88,50,18,75,36,6,68,54,7,,,,82,40,7,87,58,22,,,,-1,-1,-1,,,,-1,-1,-1,80,44,14
COMO-PICKTON CISD,1,724,75,44,19,80,51,21,72,72,38,17,72,44,15,68,42,20,31,23,8,67,34,13,82,51,23,-1,-1,-1,100,100,80,,,,63,42,13,70,37,14
SALTILLO ISD,1,244,86,52,18,90,56,18,85,88,57,17,85,43,18,61,36,22,67,33,0,84,48,12,87,54,21,,,,,,,,,,,,,81,48,12
SULPHUR BLUFF ISD,1,202,80,47,16,78,57,19,85,84,38,14,85,35,15,70,43,13,70,50,10,78,37,12,81,48,17,,,,,,,,,,80,50,20,70,35,8
CROCKETT ISD,4,1190,63,32,14,65,37,13,65,55,20,9,65,33,15,76,50,32,53,24,9,71,38,16,81,45,24,,,,75,67,42,-1,-1,-1,48,25,14,61,30,12
GRAPELAND ISD,3,631,73,42,17,72,48,19,72,76,40,17,72,31,10,65,38,16,50,27,6,64,36,10,81,48,22,,,,92,62,15,,,,63,26,0,67,37,13
LOVELADY ISD,2,504,87,53,24,88,64,31,85,86,42,16,85,50,19,88,55,30,76,35,10,84,48,24,88,56,26,-1,-1,-1,-1,-1,-1,,,,96,57,26,82,47,20
LATEXO ISD,2,488,78,50,19,82,59,24,76,75,42,15,76,50,14,73,42,18,83,50,17,69,43,8,80,52,21,,,,89,67,56,,,,58,8,0,71,40,13
KENNARD ISD,1,246,82,52,22,84,59,24,82,83,53,20,82,47,25,67,33,17,70,43,11,89,15,7,82,57,26,,,,,,,-1,-1,-1,83,50,0,76,45,18
BIG SPRING ISD,8,3629,66,39,16,65,41,15,68,67,36,15,68,40,16,67,38,19,62,37,13,65,36,14,71,46,20,85,62,46,83,70,49,63,13,0,67,45,22,63,35,13
COAHOMA ISD,3,1084,71,38,15,71,45,19,75,69,32,10,75,41,15,73,28,11,78,33,0,69,32,12,73,43,17,100,33,17,-1,-1,-1,,,,63,42,26,57,25,8
FORSAN ISD,2,764,82,53,25,84,61,32,89,79,44,18,89,56,23,71,42,21,86,71,29,77,43,22,81,50,27,-1,-1,-1,100,89,63,,,,100,71,43,76,40,20
FT HANCOCK ISD,3,400,71,40,13,71,46,16,72,71,27,6,72,45,14,77,61,32,,,,71,40,12,67,40,20,,,,-1,-1,-1,,,,78,67,67,70,39,12
SIERRA BLANCA ISD,1,118,75,39,14,75,43,14,74,74,37,13,74,30,11,77,46,23,-1,-1,-1,82,41,12,83,44,11,,,,,,,,,,,,,81,32,11
DELL CITY ISD,1,66,76,49,27,78,47,22,91,68,39,29,91,73,18,83,67,67,,,,69,33,13,86,72,52,,,,,,,,,,-1,-1,-1,70,38,18
CADDO MILLS ISD,4,2227,87,62,31,88,67,35,87,88,56,26,87,67,32,72,50,28,81,49,21,81,51,23,88,65,33,79,57,14,91,91,36,,,,92,66,34,81,51,23
CELESTE ISD,3,483,76,51,22,79,57,23,66,73,44,20,66,47,18,85,60,26,54,38,8,76,55,22,77,52,23,88,50,13,,,,,,,59,34,9,68,44,13
